name,intro,address,tel,fax,email,site
沙特阿拉伯房地产开发基金（REDF）,简介：为住房开发提供相当于房屋价值70%的无息贷款，还款期超过25年。为非住房建设提供50%的贷款。,"地址：Real Estate Development Fund Building, Salahuddin Al Ayoubi Street, Ad Dhubbat Area, 5591, Saudi Arabia, Riyadh 11433.",联系电话：+966 11-479-2222/+966 11-479-0539/+966 11-477-5120,传真：+966 11-479-0148,电子邮箱：admin@redf.gov.sa,网址：www.redf.gov.sa
沙特工业发展基金（Saudi Industrial Development Fund，SIDF）,"简介：向私有的工业项目提供中长期信贷。贷款额可达项目金额的50%, 而且可以向全资外国公司或沙特公司提供贷款。",地址：P.O. Box 4143 Riyadh 11149.,联系电话：00966-11-477-4002/8001160004（free）,传真：00966-11-4775135/00966-11-479-0165 ,电子邮箱：info@sidf.gov.sa ,网址：http://www.sidf.gov.sa/en/Pages/default.aspx
沙特投资总局（SAGIA）,简介：2000年4月10日根据沙特最高经济委员会决议成立的沙特投资总局，是直接负责协调沙特政府各部门处理沙特境内外商投资事务的官方机构。其宗旨是改善沙特国内投资环境，提高对外资的吸引力，为境内外投资者提供全方位的服务，尤其鼓励在能源、运输及知识产业领域的投资。,地址：Imam Saud Bin AbdulAziz Road (University Road) P.O. Box Riyadh 11432 - Kingdom of Saudi Arabia.,联系电话：80024499\u200b90/+966112035777,,电子邮箱：investorcare@sagia.gov.sa,网址：https://www.sagia.gov.sa/en/Pages/default.aspx
沙特阿拉伯公共投资基金（Public Investment Fund of Saudi Arabia，PIF),简介：为公共项目提供资金。对于非常重要的，非常大的项目，私人投资者很难筹集资金，公共投资基金可以在商业运作的基础上，与商业银行合作提供长期资金支持。公共投资基金也是政府拥有股份的公有贸易公司的监管人。,"地址：Ministry of Finance CompoundBuilding No.26th FloorRiyadh,\xa0 Saudi Arabia.",联系电话：966 11 4050000,传真：966 11 4123474 ,电子邮箱：pif@mof.gov.sa,
"尼泊尔能源部（Ministry of Energy, Government of Nepal）",,"地址：Singh Durbar, Kathmandu, Nepal",联系电话：977-1-4211516\t,传真：977-1-4211510,电子邮箱：info@moen.gov.np,网址：http://www.moen.gov.np/
"尼泊尔科技和环境部（Ministry of Science, Technology and Environment, Government of Nepal）",,"\r\n\t\r\n\r\n地址：Singha durbar, Kathmandu, Nepal",联系电话：977-1-4211641,传真：977-1-4211954,电子邮箱：info@moste.gov.np,网址：http://www.moste.gov.np/
阿尔巴尼亚全国注册中心（NRC）,,"\r\n\t\r\n\r\n地址：Boulevard “Zhan D’Ark”,Nr.33, Tiran?",联系电话：00355-4-2250066,,电子邮箱：info.qkr@qkr.gov.al,网址：www.qkr.gov.al
巴基斯坦贸易发展署（Trade Development Authority of Pakistan）,,,,"传真：92-21-9206497,9206461",,网址：\xa0www.tdap.gov.pk 
纳比勒银行（Nabil Bank）,简介：纳比勒银行（Nabil Bank）是一家尼泊尔商业银行，该银行成立于1984年，在尼泊尔全国各地拥有分行，其总部位于加德满都，主席为Krishna Bdr. Manandhar。纳比勒银行是尼泊尔第一家外商合资银行，该银行于1984年7月7日开始运营。,"地址：Head Office, Nabil Center, Beena Marga, Durbar Marg, Kathmandu, Nepal","联系电话：01-4221718, 01-4227181",传真：01-4226905,电子邮箱：info@nabilbank.com,网址：http://www.nabilbank.com/
斯里兰卡中央银行（Central Bank of Sri Lanka）,简介：斯里兰卡中央银行是斯里兰卡货币管理机构。斯里兰卡央行成立于1950年，是斯里兰卡最高金融业机构。斯里兰卡央行由5人组成的货币委员会监管，其中央行行长任委员会主席，还包括财政部常秘，以及由总统任命、财政部推荐、宪法委员会同意的其他3名成员。斯里兰卡央行负责货币发行与管理，负责确保斯里兰卡核心经济目标、价格稳定及金融系统稳定，主要职能还包括：管理雇员强制公积金、管理斯里兰卡公共债务、管理外汇、管理外国和斯里兰卡政府出资的斯里兰卡地区发展信贷项目等。,"地址：P.O. Box 590, 30, Janadhipathi Mawatha, Colombo 01, Sri Lanka. ","联系电话：94-11-2477000, 94-11-2440330, 94-11-2330220",,电子邮箱：cbslgen@cbsl.lk ,网址：http://www.cbsl.gov.lk/
