first,second,third
Geographical Region,South America,Argentina
Geographical Region,South America,Bolivia (Plurinational State of)
Geographical Region,South America,Brazil
Geographical Region,South America,Chile
Geographical Region,South America,Colombia
Geographical Region,South America,Ecuador
Geographical Region,South America,Guyana
Geographical Region,South America,Paraguay
Geographical Region,South America,Peru
Geographical Region,South America,Suriname
Geographical Region,South America,Uruguay
Geographical Region,South America,Venezuela (Bolivarian Republic of)
Geographical Region,Eastern Africa,Burundi
Geographical Region,Eastern Africa,Comoros
Geographical Region,Eastern Africa,Djibouti
Geographical Region,Eastern Africa,Eritrea
Geographical Region,Eastern Africa,Ethiopia
Geographical Region,Eastern Africa,Kenya
Geographical Region,Eastern Africa,Madagascar
Geographical Region,Eastern Africa,Malawi
Geographical Region,Eastern Africa,Mauritius
Geographical Region,Eastern Africa,Mozambique
Geographical Region,Eastern Africa,Rwanda
Geographical Region,Eastern Africa,Seychelles
Geographical Region,Eastern Africa,Somalia
Geographical Region,Eastern Africa,Uganda
Geographical Region,Eastern Africa,United Republic of Tanzania
Geographical Region,Eastern Africa,Zambia
Geographical Region,Eastern Africa,Zimbabwe
Geographical Region,Caribbean,Antigua and Barbuda
Geographical Region,Caribbean,Bahamas
Geographical Region,Caribbean,Barbados
Geographical Region,Caribbean,Cuba
Geographical Region,Caribbean,Dominica
Geographical Region,Caribbean,Dominican Republic
Geographical Region,Caribbean,Grenada
Geographical Region,Caribbean,Haiti
Geographical Region,Caribbean,Jamaica
Geographical Region,Caribbean,Saint Kitts and Nevis
Geographical Region,Caribbean,Saint Lucia
Geographical Region,Caribbean,Saint Vincent and the Grenadines
Geographical Region,Caribbean,Trinidad and Tobago
Geographical Region,Central America,Belize
Geographical Region,Central America,Costa Rica
Geographical Region,Central America,El Salvador
Geographical Region,Central America,Guatemala
Geographical Region,Central America,Honduras
Geographical Region,Central America,Mexico
Geographical Region,Central America,Nicaragua
Geographical Region,Central America,Panama
Geographical Region,Central Asia,Kazakhstan
Geographical Region,Central Asia,Kyrgyzstan
Geographical Region,Central Asia,Tajikistan
Geographical Region,Central Asia,Turkmenistan
Geographical Region,Central Asia,Uzbekistan
Geographical Region,Asia,Afghanistan
Geographical Region,Asia,Armenia
Geographical Region,Asia,Azerbaijan
Geographical Region,Asia,Bahrain
Geographical Region,Asia,Bangladesh
Geographical Region,Asia,Bhutan
Geographical Region,Asia,Brunei Darussalam
Geographical Region,Asia,Cambodia
Geographical Region,Asia,China
Geographical Region,Asia,Cyprus
Geographical Region,Asia,Democratic People's Republic of Korea
Geographical Region,Asia,Georgia
Geographical Region,Asia,India
Geographical Region,Asia,Indonesia
Geographical Region,Asia,Iran (Islamic Republic of)
Geographical Region,Asia,Iraq
Geographical Region,Asia,Israel
Geographical Region,Asia,Japan
Geographical Region,Asia,Jordan
Geographical Region,Asia,Kazakhstan
Geographical Region,Asia,Kuwait
Geographical Region,Asia,Kyrgyzstan
Geographical Region,Asia,Lao People's Democratic Republic
Geographical Region,Asia,Lebanon
Geographical Region,Asia,Malaysia
Geographical Region,Asia,Maldives
Geographical Region,Asia,Mongolia
Geographical Region,Asia,Myanmar
Geographical Region,Asia,Nepal
Geographical Region,Asia,Oman
Geographical Region,Asia,Pakistan
Geographical Region,Asia,Philippines
Geographical Region,Asia,Qatar
Geographical Region,Asia,Republic of Korea
Geographical Region,Asia,Saudi Arabia
Geographical Region,Asia,Singapore
Geographical Region,Asia,Sri Lanka
Geographical Region,Asia,Syrian Arab Republic
Geographical Region,Asia,Tajikistan
Geographical Region,Asia,Thailand
Geographical Region,Asia,Timor-Leste
Geographical Region,Asia,Turkey
Geographical Region,Asia,Turkmenistan
Geographical Region,Asia,United Arab Emirates
Geographical Region,Asia,Uzbekistan
Geographical Region,Asia,Viet Nam
Geographical Region,Asia,Yemen
Geographical Region,Australia and New Zealand,Australia
Geographical Region,Australia and New Zealand,New Zealand
Geographical Region,Africa,Algeria
Geographical Region,Africa,Angola
Geographical Region,Africa,Benin
Geographical Region,Africa,Botswana
Geographical Region,Africa,Burkina Faso
Geographical Region,Africa,Burundi
Geographical Region,Africa,Cabo Verde
Geographical Region,Africa,Cameroon
Geographical Region,Africa,Central African Republic
Geographical Region,Africa,Chad
Geographical Region,Africa,Comoros
Geographical Region,Africa,Congo
Geographical Region,Africa,Côte d'Ivoire
Geographical Region,Africa,Democratic Republic of the Congo
Geographical Region,Africa,Djibouti
Geographical Region,Africa,Egypt
Geographical Region,Africa,Equatorial Guinea
Geographical Region,Africa,Eritrea
Geographical Region,Africa,Ethiopia
Geographical Region,Africa,Gabon
Geographical Region,Africa,Gambia
Geographical Region,Africa,Ghana
Geographical Region,Africa,Guinea
Geographical Region,Africa,Guinea-Bissau
Geographical Region,Africa,Kenya
Geographical Region,Africa,Lesotho
Geographical Region,Africa,Liberia
Geographical Region,Africa,Libya
Geographical Region,Africa,Madagascar
Geographical Region,Africa,Malawi
Geographical Region,Africa,Mali
Geographical Region,Africa,Mauritania
Geographical Region,Africa,Mauritius
Geographical Region,Africa,Morocco
Geographical Region,Africa,Mozambique
Geographical Region,Africa,Namibia
Geographical Region,Africa,Niger
Geographical Region,Africa,Nigeria
Geographical Region,Africa,Rwanda
Geographical Region,Africa,Sao Tome and Principe
Geographical Region,Africa,Senegal
Geographical Region,Africa,Seychelles
Geographical Region,Africa,Sierra Leone
Geographical Region,Africa,Somalia
Geographical Region,Africa,South Africa
Geographical Region,Africa,Sudan
Geographical Region,Africa,Swaziland
Geographical Region,Africa,Togo
Geographical Region,Africa,Tunisia
Geographical Region,Africa,Uganda
Geographical Region,Africa,United Republic of Tanzania
Geographical Region,Africa,Zambia
Geographical Region,Africa,Zimbabwe
Geographical Region,Americas,Antigua and Barbuda
Geographical Region,Americas,Argentina
Geographical Region,Americas,Bahamas
Geographical Region,Americas,Barbados
Geographical Region,Americas,Belize
Geographical Region,Americas,Bolivia (Plurinational State of)
Geographical Region,Americas,Brazil
Geographical Region,Americas,Canada
Geographical Region,Americas,Chile
Geographical Region,Americas,Colombia
Geographical Region,Americas,Costa Rica
Geographical Region,Americas,Cuba
Geographical Region,Americas,Dominica
Geographical Region,Americas,Dominican Republic
Geographical Region,Americas,Ecuador
Geographical Region,Americas,El Salvador
Geographical Region,Americas,Grenada
Geographical Region,Americas,Guatemala
Geographical Region,Americas,Guyana
Geographical Region,Americas,Haiti
Geographical Region,Americas,Honduras
Geographical Region,Americas,Jamaica
Geographical Region,Americas,Mexico
Geographical Region,Americas,Nicaragua
Geographical Region,Americas,Panama
Geographical Region,Americas,Paraguay
Geographical Region,Americas,Peru
Geographical Region,Americas,Saint Kitts and Nevis
Geographical Region,Americas,Saint Lucia
Geographical Region,Americas,Saint Vincent and the Grenadines
Geographical Region,Americas,Suriname
Geographical Region,Americas,Trinidad and Tobago
Geographical Region,Americas,United States of America
Geographical Region,Americas,Uruguay
Geographical Region,Americas,Venezuela (Bolivarian Republic of)
Geographical Region,Southern Asia,Afghanistan
Geographical Region,Southern Asia,Bangladesh
Geographical Region,Southern Asia,Bhutan
Geographical Region,Southern Asia,India
Geographical Region,Southern Asia,Iran (Islamic Republic of)
Geographical Region,Southern Asia,Maldives
Geographical Region,Southern Asia,Nepal
Geographical Region,Southern Asia,Pakistan
Geographical Region,Southern Asia,Sri Lanka
Geographical Region,Northern America,Canada
Geographical Region,Northern America,United States of America
Geographical Region,Europe,Albania
Geographical Region,Europe,Andorra
Geographical Region,Europe,Austria
Geographical Region,Europe,Belarus
Geographical Region,Europe,Belgium
Geographical Region,Europe,Bosnia and Herzegovina
Geographical Region,Europe,Bulgaria
Geographical Region,Europe,Croatia
Geographical Region,Europe,Czech Republic
Geographical Region,Europe,Denmark
Geographical Region,Europe,Estonia
Geographical Region,Europe,Finland
Geographical Region,Europe,France
Geographical Region,Europe,Germany
Geographical Region,Europe,Greece
Geographical Region,Europe,Hungary
Geographical Region,Europe,Iceland
Geographical Region,Europe,Ireland
Geographical Region,Europe,Italy
Geographical Region,Europe,Latvia
Geographical Region,Europe,Lithuania
Geographical Region,Europe,Luxembourg
Geographical Region,Europe,Malta
Geographical Region,Europe,Monaco
Geographical Region,Europe,Montenegro
Geographical Region,Europe,Netherlands
Geographical Region,Europe,Norway
Geographical Region,Europe,Poland
Geographical Region,Europe,Portugal
Geographical Region,Europe,Republic of Moldova
Geographical Region,Europe,Romania
Geographical Region,Europe,Russian Federation
Geographical Region,Europe,San Marino
Geographical Region,Europe,Serbia
Geographical Region,Europe,Slovakia
Geographical Region,Europe,Slovenia
Geographical Region,Europe,Spain
Geographical Region,Europe,Sweden
Geographical Region,Europe,Switzerland
Geographical Region,Europe,The former Yugoslav Republic of Macedonia
Geographical Region,Europe,Ukraine
Geographical Region,Europe,United Kingdom
Geographical Region,Middle Africa,Angola
Geographical Region,Middle Africa,Cameroon
Geographical Region,Middle Africa,Central African Republic
Geographical Region,Middle Africa,Chad
Geographical Region,Middle Africa,Congo
Geographical Region,Middle Africa,Democratic Republic of the Congo
Geographical Region,Middle Africa,Equatorial Guinea
Geographical Region,Middle Africa,Gabon
Geographical Region,Middle Africa,Sao Tome and Principe
Geographical Region,Eastern Asia,China
Geographical Region,Eastern Asia,Democratic People's Republic of Korea
Geographical Region,Eastern Asia,Japan
Geographical Region,Eastern Asia,Mongolia
Geographical Region,Eastern Asia,Republic of Korea
Geographical Region,Micronesia,Kiribati
Geographical Region,Micronesia,Marshall Islands
Geographical Region,Micronesia,Micronesia (Federated States of)
Geographical Region,Micronesia,Nauru
Geographical Region,Micronesia,Palau
Geographical Region,Northern Africa,Algeria
Geographical Region,Northern Africa,Egypt
Geographical Region,Northern Africa,Libya
Geographical Region,Northern Africa,Morocco
Geographical Region,Northern Africa,Sudan
Geographical Region,Northern Africa,Tunisia
Geographical Region,Melanesia,Fiji
Geographical Region,Melanesia,Papua New Guinea
Geographical Region,Melanesia,Solomon Islands
Geographical Region,Melanesia,Vanuatu
Geographical Region,Eastern Europe,Belarus
Geographical Region,Eastern Europe,Bulgaria
Geographical Region,Eastern Europe,Czech Republic
Geographical Region,Eastern Europe,Hungary
Geographical Region,Eastern Europe,Poland
Geographical Region,Eastern Europe,Republic of Moldova
Geographical Region,Eastern Europe,Romania
Geographical Region,Eastern Europe,Russian Federation
Geographical Region,Eastern Europe,Slovakia
Geographical Region,Eastern Europe,Ukraine
Geographical Region,Northern Europe,Denmark
Geographical Region,Northern Europe,Estonia
Geographical Region,Northern Europe,Finland
Geographical Region,Northern Europe,Iceland
Geographical Region,Northern Europe,Ireland
Geographical Region,Northern Europe,Latvia
Geographical Region,Northern Europe,Lithuania
Geographical Region,Northern Europe,Norway
Geographical Region,Northern Europe,Sweden
Geographical Region,Northern Europe,United Kingdom
Geographical Region,Oceania,Australia
Geographical Region,Oceania,Cook Islands
Geographical Region,Oceania,Fiji
Geographical Region,Oceania,Kiribati
Geographical Region,Oceania,Marshall Islands
Geographical Region,Oceania,Micronesia (Federated States of)
Geographical Region,Oceania,Nauru
Geographical Region,Oceania,New Zealand
Geographical Region,Oceania,Niue
Geographical Region,Oceania,Palau
Geographical Region,Oceania,Papua New Guinea
Geographical Region,Oceania,Samoa
Geographical Region,Oceania,Solomon Islands
Geographical Region,Oceania,Tonga
Geographical Region,Oceania,Tuvalu
Geographical Region,Oceania,Vanuatu
Geographical Region,Polynesia,Cook Islands
Geographical Region,Polynesia,Niue
Geographical Region,Polynesia,Samoa
Geographical Region,Polynesia,Tonga
Geographical Region,Polynesia,Tuvalu
Geographical Region,South-eastern Asia,Brunei Darussalam
Geographical Region,South-eastern Asia,Cambodia
Geographical Region,South-eastern Asia,Indonesia
Geographical Region,South-eastern Asia,Lao People's Democratic Republic
Geographical Region,South-eastern Asia,Malaysia
Geographical Region,South-eastern Asia,Myanmar
Geographical Region,South-eastern Asia,Philippines
Geographical Region,South-eastern Asia,Singapore
Geographical Region,South-eastern Asia,Thailand
Geographical Region,South-eastern Asia,Timor-Leste
Geographical Region,South-eastern Asia,Viet Nam
Geographical Region,Southern Europe,Albania
Geographical Region,Southern Europe,Andorra
Geographical Region,Southern Europe,Bosnia and Herzegovina
Geographical Region,Southern Europe,Croatia
Geographical Region,Southern Europe,Greece
