title,rate,author
万物生光辉,9.3,作者:[英]吉米·哈利
我亲爱的甜橙树,9.1,作者:(巴西)若泽•毛罗•德瓦斯康塞洛斯
教父,9.2,作者:(美)马里奥·普佐
故事,9.2,作者:罗伯特·麦基
树上的男爵,9.0,作者:(意)卡尔维诺
罗马人的故事2,9.2,作者:盐野七生
神秘岛（全三册）,9.2,作者:(法)儒勒·凡尔纳
罗杰・艾克罗伊德谋杀案,9.0,作者:阿加莎・克里斯蒂
呼兰河传,9.0,作者:萧红
孽子,9.0,作者:白先勇
最後的貴族,9.0,作者:章詒和
木心作品八种,9.3,作者:木心
灵魂的事,9.0,作者:史铁生
万物既聪慧又奇妙,9.2,作者:[英]吉米·哈利
局外人,9.0,作者:[法]阿尔贝·加缪
荒原狼,9.0,作者:(德)黑塞
所罗门王的指环,9.2,作者:(奥)劳伦兹
故道白云,9.0,作者:一行禅师
中国哲学简史,9.2,作者:冯友兰
经济学,9.3,作者:（美）保罗·萨缪尔森
史努比黄金50年,9.1,作者:[美]查尔斯·舒尔茨
365夜,9.2,作者:鲁兵主编
世说新语,9.0,作者:刘义庆
银河帝国3：第二基地,9.2,作者:[美]艾萨克·阿西莫夫
C专家编程,9.2,作者:PeterVanDerLinden
author,rate,title
作者:[英]吉米·哈利,9.3,万物生光辉
作者:(巴西)若泽•毛罗•德瓦斯康塞洛斯,9.1,我亲爱的甜橙树
作者:(美)马里奥·普佐,9.2,教父
作者:罗伯特·麦基,9.2,故事
作者:(意)卡尔维诺,9.0,树上的男爵
作者:盐野七生,9.2,罗马人的故事2
作者:(法)儒勒·凡尔纳,9.2,神秘岛（全三册）
作者:阿加莎・克里斯蒂,9.0,罗杰・艾克罗伊德谋杀案
作者:萧红,9.0,呼兰河传
作者:白先勇,9.0,孽子
作者:章詒和,9.0,最後的貴族
作者:木心,9.3,木心作品八种
作者:史铁生,9.0,灵魂的事
作者:[英]吉米·哈利,9.2,万物既聪慧又奇妙
作者:[法]阿尔贝·加缪,9.0,局外人
作者:(德)黑塞,9.0,荒原狼
作者:(奥)劳伦兹,9.2,所罗门王的指环
作者:一行禅师,9.0,故道白云
